"","symbol","log2fc","effectsize","pvalue","pvalue_adjust","hgnc_id","hgnc_symbol","entrez_id","gene","signif"
"1","TP53INP2",3.03465360264741,3.03465360264741,1.7485339914383e-106,2.50197728834906e-102,"HGNC:16104","TP53INP2",58476,58476,TRUE
"2","RAB13",3.12344765705035,3.12344765705035,9.13214391191813e-87,2.39448338164182e-83,"HGNC:9762","RAB13",5872,5872,TRUE
"3","B2M",2.84580377634062,2.84580377634062,1.00404642461744e-86,2.39448338164182e-83,"HGNC:914","B2M",567,567,TRUE
"4","METRN",2.5535139146311,2.5535139146311,4.12295333336976e-86,8.42790560674112e-83,"HGNC:14151","METRN",79006,79006,TRUE
"5","WASF3",2.69771267227268,2.69771267227268,1.37459601244343e-79,2.18545492689477e-76,"HGNC:12734","WASF3",10810,10810,TRUE
"6","NDRG2",2.80637742477714,2.80637742477714,7.29710053903583e-79,1.04414211613064e-75,"HGNC:14460","NDRG2",57447,57447,TRUE
"7","TSC2",2.86223433979927,2.86223433979927,6.88895141614533e-78,8.96127325578395e-75,"HGNC:12363","TSC2",7249,7249,TRUE
"8","RN7SL1",2.68855905937988,2.68855905937988,1.66019051599865e-77,1.97963884111872e-74,"HGNC:10038","RN7SL1",6029,6029,TRUE
"9","TRAK2",2.41340137347026,2.41340137347026,4.82795692761419e-77,5.31409505209472e-74,"HGNC:13206","TRAK2",66008,66008,TRUE
"10","SPARC",2.93677607793007,2.93677607793007,5.30565988286051e-76,5.42276337598936e-73,"HGNC:11219","SPARC",6678,6678,TRUE
"11","SYNM",2.36358864414898,2.36358864414898,4.08344665943995e-75,3.89533588332841e-72,"HGNC:24466","SYNM",23336,23336,TRUE
"12","NEURL1",3.03766761539598,3.03766761539598,3.64962937308169e-72,2.90125259441255e-69,"HGNC:7761","NEURL1",9148,9148,TRUE
"13","RPL37A",2.66450001823225,2.66450001823225,8.57938583204623e-71,6.46118062477629e-68,"HGNC:10348","RPL37A",6168,6168,TRUE
"14","GRM3",2.60364298847955,2.60364298847955,4.52795859205355e-68,2.94502543153156e-65,"HGNC:4595","GRM3",2913,2913,TRUE
"15","TRAF3",2.40930936261286,2.40930936261286,4.12401947250578e-67,2.56567802748197e-64,"HGNC:12033","TRAF3",7187,7187,TRUE
"16","PABPC1",2.24295190714493,2.24295190714493,2.48131059523283e-65,1.47937805446611e-62,"HGNC:8554","PABPC1",26986,26986,TRUE
"17","YAP1",2.77559911546565,2.77559911546565,5.8037175292058e-63,3.19405362020792e-60,"HGNC:16262","YAP1",10413,10413,TRUE
"18","MT-ND4",3.13872229993118,3.13872229993118,1.29706103289505e-62,6.87394308136864e-60,"HGNC:7459","MT-ND4",4538,4538,TRUE
"19","SHANK3",3.13816819118756,3.13816819118756,1.09324605688425e-61,5.39422683722648e-59,"HGNC:14294","SHANK3",85358,85358,TRUE
"20","HOMER2",2.2524493539674,2.2524493539674,1.68045186023906e-60,7.75664053811635e-58,"HGNC:17513","HOMER2",9455,9455,TRUE
"21","HIPK2",2.30138851856135,2.30138851856135,3.13808809011987e-59,1.36069401459167e-56,"HGNC:14402","HIPK2",28996,28996,TRUE
"22","PINK1",2.94639960490705,2.94639960490705,2.50601913415695e-58,1.05466552325446e-55,"HGNC:14581","PINK1",65018,65018,TRUE
"23","TPT1",2.24847768979946,2.24847768979946,3.51164322549331e-58,1.43566008324525e-55,"HGNC:12022","TPT1",7178,7178,TRUE
"24","RPL41",2.48869132445962,2.48869132445962,4.60702921032219e-58,1.83116613806945e-55,"HGNC:10354","RPL41",6171,6171,TRUE
"25","SEC14L1",2.50286453758494,2.50286453758494,7.08650368644918e-58,2.74056165538922e-55,"HGNC:10698","SEC14L1",6397,6397,TRUE
"26","MAP4",2.18987843129156,2.18987843129156,1.4515203506592e-57,5.19245117439563e-55,"HGNC:6862","MAP4",4134,4134,TRUE
"27","SAMD4A",2.35406629618628,2.35406629618628,4.06179610718874e-57,1.41756684140887e-54,"HGNC:23023","SAMD4A",23034,23034,TRUE
"28","SHC3",2.55315722022604,2.55315722022604,2.47003186905883e-56,8.41516333675305e-54,"HGNC:18181","SHC3",53358,53358,TRUE
"29","MYO6",2.07260228870025,2.07260228870025,4.04892837464338e-55,1.25948078506026e-52,"HGNC:7605","MYO6",4646,4646,TRUE
"30","PTGR2",2.29758583948997,2.29758583948997,5.60398597214614e-55,1.70611564415828e-52,"HGNC:20149","PTGR2",145482,145482,TRUE
"31","RPS27",2.1279780440496,2.1279780440496,5.84969613912e-55,1.74381879280558e-52,"HGNC:10416","RPS27",6232,6232,TRUE
"32","GPM6B",3.08907486985222,3.08907486985222,1.00270769475304e-54,2.92811110290229e-52,"HGNC:4461","GPM6B",2824,2824,TRUE
"33","ADD3",2.18240011387351,2.18240011387351,1.15057403430598e-54,3.29271277137685e-52,"HGNC:245","ADD3",120,120,TRUE
"34","PGM5",2.42984830284787,2.42984830284787,1.42757455470053e-54,4.00532633396272e-52,"HGNC:8908","PGM5",5239,5239,TRUE
"35","SERF2",2.02035908701947,2.02035908701947,4.43297019341016e-54,1.21983404802896e-51,"HGNC:10757","SERF2",10169,10169,TRUE
"36","KIF5B",2.29465618248582,2.29465618248582,1.74725329373462e-53,4.71725422265069e-51,"HGNC:6324","KIF5B",3799,3799,TRUE
"37","ATP5F1E",2.14388618586172,2.14388618586172,2.68918796703568e-53,7.12585011487289e-51,"HGNC:838","ATP5F1E",514,514,TRUE
"38","RAB21",2.03768666936105,2.03768666936105,3.29293480143533e-53,8.56701892249784e-51,"HGNC:18263","RAB21",23011,23011,TRUE
"39","GMFB",2.52246622678269,2.52246622678269,9.52271801420329e-53,2.39053635202167e-50,"HGNC:4373","GMFB",2764,2764,TRUE
"40","RSRP1",-2.23058903405527,-2.23058903405527,1.81035591797921e-52,4.46627290178698e-50,"HGNC:25234","RSRP1",57035,57035,TRUE
"41","PAQR8",3.01206119980296,3.01206119980296,2.51645786489473e-52,6.103050099793e-50,"HGNC:15708","PAQR8",85315,85315,TRUE
"42","MLLT6",2.44043961674934,2.44043961674934,2.83506388664516e-51,6.65031625475502e-49,"HGNC:7138","MLLT6",4302,4302,TRUE
"43","SSPN",2.12539562403237,2.12539562403237,9.32202963525425e-51,2.08420190704458e-48,"HGNC:11322","SSPN",8082,8082,TRUE
"44","RPL30",1.95815671390207,1.95815671390207,1.01256824621966e-50,2.22905215925495e-48,"HGNC:10333","RPL30",6156,6156,TRUE
"45","NIBAN2",2.28484310192618,2.28484310192618,1.20792097417655e-50,2.57972257007347e-48,"HGNC:25282","NIBAN2",64855,64855,TRUE
"46","RPL32",2.04202873095135,2.04202873095135,2.80511397692262e-50,5.90270233761556e-48,"HGNC:10336","RPL32",6161,6161,TRUE
"47","MAP2",2.29994569366557,2.29994569366557,4.38750116768316e-50,8.96867917262548e-48,"HGNC:6839","MAP2",4133,4133,TRUE
"48","MT-CO1",2.71507739251261,2.71507739251261,6.14535228504889e-50,1.23850487108119e-47,"HGNC:7419","MT-CO1",4512,4512,TRUE
"49","UBA52",2.09832624907936,2.09832624907936,1.12213918694986e-49,2.19954652411857e-47,"HGNC:12458","UBA52",7311,7311,TRUE
"50","CDYL",2.23415300517326,2.23415300517326,1.83929118292794e-49,3.55654291033998e-47,"HGNC:1811","CDYL",9425,9425,TRUE
