"symbol","log2fc","effectsize","pvalue","pvalue_adjust","hgnc_id","hgnc_symbol","entrez_id","gene","signif"
"CMAS",-4.669968138498,-57.2999183513382,2.24817979684302e-18,4.28517143476968e-15,"HGNC:18290","CMAS",55907,55907,TRUE
"MATR3",-5.07734883602691,-57.1452887478284,2.33684160623684e-18,4.28517143476968e-15,"HGNC:6912","MATR3",9782,9782,TRUE
"DDX39B",-3.95685076809841,-56.1241978029565,3.02482689513154e-18,4.28517143476968e-15,"HGNC:13917","DDX39B",7919,7919,TRUE
"SNU13",-3.20238398341388,-54.4578936393942,4.65589245929768e-18,4.94688573800378e-15,"HGNC:7819","SNU13",4809,4809,TRUE
"HNRNPU",-4.34005098056737,-52.4909598079268,7.880390985133e-18,6.69833233736305e-15,"HGNC:5048","HNRNPU",3192,3192,TRUE
"HNRNPA2B1",-5.22263265878457,-50.965985829074,1.20130737473636e-17,8.50926057104919e-15,"HGNC:5033","HNRNPA2B1",3181,3181,TRUE
"HNRNPK",-4.21343819838806,-49.5892635683195,1.77696250165406e-17,1.07887009028996e-14,"HGNC:5044","HNRNPK",3190,3190,TRUE
"PUF60",-2.78178786469645,-48.0615624473183,2.77908043911433e-17,1.47638648327949e-14,"HGNC:17042","PUF60",22827,22827,TRUE
"SRSF1",-5.06346029131965,-47.6365821962583,3.15512254479258e-17,1.48991897948538e-14,"HGNC:10780","SRSF1",6426,6426,TRUE
"NCL",-4.92814045090705,-47.0711697544892,3.74198360734403e-17,1.59034303312121e-14,"HGNC:7667","NCL",4691,4691,TRUE
"RPN1",-2.58618519552615,-45.2121900389832,6.65322744736127e-17,2.57056515011685e-14,"HGNC:10381","RPN1",6184,6184,TRUE
"GLA",-2.33546113346475,-41.9676166873759,1.925664481646e-16,6.8200617058296e-14,"HGNC:4296","GLA",2717,2717,TRUE
"HNRNPA1",-4.21314345021752,-41.6723892144434,2.12965299016814e-16,6.96232708324199e-14,"HGNC:5031","HNRNPA1",3178,3178,TRUE
"ILF2",-2.21046390326451,-40.7675451775353,2.91243903972373e-16,8.41760784991539e-14,"HGNC:6037","ILF2",3608,3608,TRUE
"DDOST",-2.45900257270271,-40.7107353049412,2.9709204176172e-16,8.41760784991539e-14,"HGNC:2728","DDOST",1650,1650,TRUE
"RPS20",-2.81247055408656,-40.3203884993169,3.40831610291701e-16,8.7558377196461e-14,"HGNC:10405","RPS20",6224,6224,TRUE
"SSR1",-2.96025495041286,-39.6770210722189,4.28650536482717e-16,8.7558377196461e-14,"HGNC:11323","SSR1",6745,6745,TRUE
"COPA",-2.17560968399544,-39.6250645868368,4.36729944280735e-16,8.7558377196461e-14,"HGNC:2230","COPA",1314,1314,TRUE
